perfil,tamanho,instancia,algoritmo,exato,status,soma_a,soma_b,diferenca,diferenca_referencia,referencia_comprovada,gap_absoluto,gap_percentual,desequilibrio_relativo_pct,atingiu_otimo,tempo_ms,tempo_min_ms,tempo_max_ms,tempo_desvio_padrao_ms,repeticoes_medicao,memoria_alocada_mb,estados_explorados,chamadas_recursivas,podas,profundidade_maxima,observacao
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v0,Backtracking,true,SUCESSO,245,245,0,0,true,0,0.0000,0.000000,true,0.0275,0.0259,0.0344,0.0032,7,0.0002,123,123,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v0,BranchAndBound,true,SUCESSO,245,245,0,0,true,0,0.0000,0.000000,true,0.0537,0.0469,0.0769,0.0108,7,0.0004,160,160,33,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v0,ProgramacaoDinamica,true,SUCESSO,245,245,0,0,true,0,0.0000,0.000000,true,0.1742,0.1695,0.1947,0.0097,7,0.0030,2460,0,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v0,Guloso,false,SUCESSO,245,245,0,0,true,0,0.0000,0.000000,true,0.0077,0.0073,0.0269,0.0072,7,0.0002,10,0,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v0,KarmarkarKarp,false,SUCESSO,245,245,0,0,true,0,0.0000,0.000000,true,0.0531,0.0444,0.0581,0.0062,7,0.0024,9,0,0,4,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v1,Backtracking,true,SUCESSO,268,264,4,4,true,0,0.0000,0.751880,true,0.0134,0.0133,0.0427,0.0107,7,0.0002,1023,1023,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v1,BranchAndBound,true,SUCESSO,268,264,4,4,true,0,0.0000,0.751880,true,0.0210,0.0195,0.0356,0.0059,7,0.0004,341,341,75,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v1,ProgramacaoDinamica,true,SUCESSO,264,268,4,4,true,0,0.0000,0.751880,true,0.2206,0.1935,0.2431,0.0175,7,0.0032,2670,0,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v1,Guloso,false,SUCESSO,270,262,8,4,true,4,100.0000,1.503759,false,0.0096,0.0089,0.0341,0.0093,7,0.0002,10,0,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v1,KarmarkarKarp,false,SUCESSO,259,273,14,4,true,10,250.0000,2.631579,false,0.0440,0.0388,0.1964,0.0577,7,0.0024,9,0,0,4,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v2,Backtracking,true,SUCESSO,204,204,0,0,true,0,0.0000,0.000000,true,0.0027,0.0026,0.0029,0.0001,7,0.0002,592,592,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v2,BranchAndBound,true,SUCESSO,204,204,0,0,true,0,0.0000,0.000000,true,0.0236,0.0101,0.0415,0.0115,7,0.0004,252,252,29,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v2,ProgramacaoDinamica,true,SUCESSO,204,204,0,0,true,0,0.0000,0.000000,true,0.1577,0.1367,0.1857,0.0198,7,0.0026,2050,0,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v2,Guloso,false,SUCESSO,195,213,18,0,true,18,,4.411765,false,0.0054,0.0051,0.0063,0.0004,7,0.0002,10,0,0,10,
UNIFORME_PEQUENO,10,uniforme_pequeno_n10_v2,KarmarkarKarp,false,SUCESSO,212,196,16,0,true,16,,3.921569,false,0.0429,0.0377,0.0496,0.0040,7,0.0024,9,0,0,2,
